Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	27/78	1.7076546456355515E-63	7.921965142434744E-61	0	0	223.32506203473946	32276.666497178176	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	27/78	1.7076546456355515E-63	7.261801380565183E-61	0	0	223.32506203473946	32276.666497178176	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
anaphase-promoting complex-dependent catabolic process (GO:0031145)	27/79	2.5939684642687077E-63	1.0182323902433242E-60	0	0	220.49816251531237	31775.917861246617	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
negative regulation of mitotic cell cycle phase transition (GO:1901991)	27/79	2.5939684642687077E-63	9.45501505225944E-61	0	0	220.49816251531237	31775.917861246617	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
NIK/NF-kappaB signaling (GO:0038061)	27/80	3.914887153955864E-63	1.331844609775785E-60	0	0	217.741935483871	31289.096835062213	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
positive regulation of ubiquitin protein ligase activity (GO:1904668)	27/82	8.752683473604213E-63	2.791558985362644E-60	0	0	212.43115656963022	30355.031582293723	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060)	27/87	5.9174265731367575E-62	1.7762722236892278E-59	0	0	200.22246941045609	28227.839087998975	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of stem cell differentiation (GO:2000736)	27/88	8.535381785979038E-62	2.419780736325057E-59	0	0	197.94721407624635	27834.556475964688	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	27/88	8.535381785979038E-62	2.2924238554658434E-59	0	0	197.94721407624635	27834.556475964688	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of establishment of planar polarity (GO:0090175)	27/89	1.225062252190403E-61	3.1257463364638133E-59	0	0	195.72308807538965	27451.082807677063	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)	26/71	1.793020477216702E-61	4.357039759636586E-59	0	0	236.25624716038166	33046.05647881219	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)	26/72	2.8059561798916884E-61	6.5085429027214935E-59	0	0	232.97491039426524	32482.747347661105	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	27/93	4.959972771685663E-61	1.1004670023439973E-58	0	0	187.30489073881375	26008.462305795023	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
interleukin-1-mediated signaling pathway (GO:0070498)	27/95	9.718904748551664E-61	2.0664821221607976E-58	0	0	183.3616298811545	25337.573371809805	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
negative regulation of ubiquitin protein ligase activity (GO:1904667)	26/77	2.357886698799781E-60	4.8129183295901126E-58	0	0	217.8466694595727	29909.76820727286	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
positive regulation of canonical Wnt signaling pathway (GO:0090263)	27/113	2.1428851433522035E-58	4.205824187125497E-56	0	0	154.1535826434485	20469.712368937922	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	27/121	1.7298425025835534E-57	3.269402329882916E-55	0	0	143.96161023727007	18815.684554796775	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
tumor necrosis factor-mediated signaling pathway (GO:0033209)	27/123	2.8453456189439844E-57	5.1856423905254115E-55	0	0	141.62077104642015	18439.26029610938	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	27/124	3.6367540309391706E-57	6.399433041338823E-55	0	0	140.4786680541103	18256.082136827165	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
non-canonical Wnt signaling pathway (GO:0035567)	27/127	7.494159137356608E-57	1.2747564692643591E-54	0	0	137.16027432054867	17725.664779582057	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of mRNA stability (GO:0043488)	27/128	9.495981954404173E-57	1.5631611584943385E-54	0	0	136.08870967741936	17554.964726208033	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
cellular response to hypoxia (GO:0071456)	27/132	2.398668753824527E-56	3.82512707836455E-54	0	0	131.96480938416423	16900.713515997482	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of primary metabolic process (GO:0080090)	27/139	1.128318392850168E-55	1.7447905329437598E-53	0	0	125.31909955906244	15855.554406744162	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
positive regulation of Wnt signaling pathway (GO:0030177)	27/140	1.3976812326422446E-55	2.097755097109816E-53	0	0	124.42396313364057	15715.66299016753	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
negative regulation of canonical Wnt signaling pathway (GO:0090090)	27/148	7.306056500413053E-55	1.0652230377602232E-52	0	0	117.69834350479512	14671.507690620661	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	27/149	8.92144899891325E-55	1.2646153955959531E-52	0	0	116.90842173630655	14549.688187534606	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
cellular response to interleukin-1 (GO:0071347)	27/150	1.087795808868957E-54	1.5002762196373748E-52	0	0	116.12903225806451	14429.664181919603	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
T cell receptor signaling pathway (GO:0050852)	27/163	1.2639883992012674E-53	1.69740336871686E-51	0	0	106.86720759944586	13016.71846781287	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
protein deubiquitination (GO:0016579)	29/257	1.2846988835309954E-53	1.680979077604787E-51	0	0	72.80030124262584	8866.092836753389	PSMD10;USP14;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;ADRM1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
protein modification by small protein removal (GO:0070646)	29/261	2.0631232089987778E-53	2.6320294338801907E-51	0	0	71.68458781362007	8696.257274061694	PSMD10;USP14;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;ADRM1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
negative regulation of Wnt signaling pathway (GO:0030178)	27/174	8.567229136590351E-53	1.0663065922931845E-50	0	0	100.11123470522804	12002.242381832604	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
Fc-epsilon receptor signaling pathway (GO:0038095)	27/182	3.1779352015700505E-52	3.8611912699076115E-50	0	0	95.7107408720312	11349.206718368483	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
Fc receptor signaling pathway (GO:0038093)	27/183	3.727304249410775E-52	4.423356647614694E-50	0	0	95.18773135906928	11272.011171464314	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of mitotic cell cycle phase transition (GO:1901990)	27/184	4.367533751007918E-52	5.065346529862138E-50	0	0	94.67040673211783	11195.743728306883	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
cellular response to tumor necrosis factor (GO:0071356)	27/194	2.0286342836724105E-51	2.3004712776845133E-49	0	0	89.79048885932824	10480.747846535813	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of canonical Wnt signaling pathway (GO:0060828)	27/213	3.0073533168663563E-50	3.3362008643410904E-48	0	0	81.78100863243981	9325.340738666479	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
proteasomal protein catabolic process (GO:0010498)	27/237	6.411933610488945E-49	6.961722811558529E-47	0	0	73.49938750510412	8156.117420038039	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
antigen receptor-mediated signaling pathway (GO:0050851)	27/257	6.446797267851469E-48	6.853751345384593E-46	0	0	67.77959081209991	7364.964295478523	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
ubiquitin-dependent protein catabolic process (GO:0006511)	28/341	4.286377351611035E-47	4.4639558418920635E-45	0	0	52.97512061299783	5655.944769977729	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;ADRM1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
MAPK cascade (GO:0000165)	27/278	5.979782145450781E-47	6.102965657647067E-45	0	0	62.65954977953122	6669.051082192137	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
protein polyubiquitination (GO:0000209)	27/283	9.900386372047204E-47	9.906210128736643E-45	0	0	61.55249059614727	6520.189196045285	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	27/291	2.1760660787671775E-46	2.1354740769132514E-44	0	0	59.860325906218826	6293.798205779959	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
post-translational protein modification (GO:0043687)	27/357	6.788379360545195E-44	6.536056580540024E-42	0	0	48.79371103280022	4850.023240612055	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
transmembrane transport (GO:0055085)	27/378	3.3512448220185343E-43	3.1669263568075147E-41	0	0	46.08294930875576	4506.996642086024	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
protein ubiquitination (GO:0016567)	27/506	1.0983281789338034E-39	1.019048854018036E-37	0	0	34.42560244804284	3088.2185323107974	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
cytokine-mediated signaling pathway (GO:0019221)	27/633	5.227122104124224E-37	4.7632150173831985E-35	0	0	27.51872802323804	2298.9637310181256	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
cellular protein modification process (GO:0006464)	27/1001	1.415791916323721E-31	1.2675063419298156E-29	0	0	17.401952885823853	1236.1033282539788	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	12/24	4.421540157496844E-29	3.8901930040873095E-27	0	0	322.5806451612903	21060.799874035685	PSMA5;PSMB6;PSMA6;PSMA3;PSMB4;PSMB5;PSMA1;PSMA2;PSMB3;PSMB1;PSMB10;PSMA8
protein catabolic process (GO:0030163)	12/81	1.10089037896035E-21	9.521768820058756E-20	0	0	95.57945041816009	4612.489143614654	PSMB6;PSMA5;PSMA6;PSMB4;PSMA3;PSMB5;PSMA1;PSMB3;PSMA2;PSMB1;PSMB10;PSMA8
proteolysis involved in cellular protein catabolic process (GO:0051603)	12/93	6.4168090251214546E-21	5.457496075865798E-19	0	0	83.24661810613944	3870.5819767177654	PSMB6;PSMA5;PSMA6;PSMB4;PSMA3;PSMB5;PSMA1;PSMB3;PSMA2;PSMB1;PSMB10;PSMA8
